GeneName	GeneID	chr	start	stop	arm	chr_arm	band
MIR1302-10	ENSG00000243485	1	29554	31109	p	1p	p36.33
FAM138A	ENSG00000237613	1	34554	36081	p	1p	p36.33
OR4F5	ENSG00000186092	1	69091	70008	p	1p	p36.33
RP11-34P13.7	ENSG00000238009	1	89295	133566	p	1p	p36.33
RP11-34P13.8	ENSG00000239945	1	89551	91105	p	1p	p36.33
AL627309.1	ENSG00000237683	1	134901	139379	p	1p	p36.33
RP11-34P13.14	ENSG00000239906	1	139790	140339	p	1p	p36.33
RP11-34P13.9	ENSG00000241599	1	160446	161525	p	1p	p36.33
AP006222.2	ENSG00000228463	1	227615	267253	p	1p	p36.33
RP4-669L17.10	ENSG00000237094	1	317720	453948	p	1p	p36.33
OR4F29	ENSG00000235249	1	367640	368634	p	1p	p36.33
RP4-669L17.2	ENSG00000236601	1	453633	460480	p	1p	p36.33
RP5-857K21.15	ENSG00000236743	1	459656	461954	p	1p	p36.33
RP5-857K21.1	ENSG00000231709	1	521369	523833	p	1p	p36.33
RP5-857K21.2	ENSG00000235146	1	523009	530148	p	1p	p36.33
RP5-857K21.3	ENSG00000239664	1	529833	532878	p	1p	p36.33
RP5-857K21.4	ENSG00000230021	1	536816	659930	p	1p	p36.33
RP5-857K21.5	ENSG00000223659	1	562757	564390	p	1p	p36.33
OR4F16	ENSG00000185097	1	621059	622053	p	1p	p36.33
RP11-206L10.3	ENSG00000235373	1	677193	685396	p	1p	p36.33
RP11-206L10.5	ENSG00000240618	1	694412	700305	p	1p	p36.33
RP11-206L10.4	ENSG00000229905	1	696291	697369	p	1p	p36.33
RP11-206L10.2	ENSG00000228327	1	700237	714006	p	1p	p36.33
RP11-206L10.9	ENSG00000237491	1	714150	745440	p	1p	p36.33
AL669831.1	ENSG00000269831	1	738532	739137	p	1p	p36.33
FAM87B	ENSG00000177757	1	752751	755214	p	1p	p36.33
LINC00115	ENSG00000225880	1	761586	762902	p	1p	p36.33
FAM41C	ENSG00000230368	1	803451	812283	p	1p	p36.33
AL645608.2	ENSG00000269308	1	818043	819983	p	1p	p36.33
RP11-54O7.16	ENSG00000272438	1	840214	851356	p	1p	p36.33
RP11-54O7.1	ENSG00000230699	1	846815	850328	p	1p	p36.33
RP11-54O7.2	ENSG00000241180	1	849551	850351	p	1p	p36.33
RP11-54O7.3	ENSG00000223764	1	852245	856396	p	1p	p36.33
SAMD11	ENSG00000187634	1	860260	879955	p	1p	p36.33
AL645608.1	ENSG00000268179	1	861264	866445	p	1p	p36.33
NOC2L	ENSG00000188976	1	879584	894689	p	1p	p36.33
KLHL17	ENSG00000187961	1	895967	901095	p	1p	p36.33
PLEKHN1	ENSG00000187583	1	901877	911245	p	1p	p36.33
C1orf170	ENSG00000187642	1	910579	917497	p	1p	p36.33
RP11-54O7.17	ENSG00000272512	1	931346	933431	p	1p	p36.33
HES4	ENSG00000188290	1	934342	935552	p	1p	p36.33
RP11-54O7.11	ENSG00000224969	1	947377	948573	p	1p	p36.33
ISG15	ENSG00000187608	1	948803	949920	p	1p	p36.33
AGRN	ENSG00000188157	1	955503	991496	p	1p	p36.33
RP11-54O7.18	ENSG00000273443	1	997588	998668	p	1p	p36.33
RNF223	ENSG00000237330	1	1006346	1009687	p	1p	p36.33
C1orf159	ENSG00000131591	1	1017198	1051741	p	1p	p36.33
RP11-465B22.5	ENSG00000223823	1	1072397	1079436	p	1p	p36.33
RP11-465B22.8	ENSG00000272141	1	1104737	1105723	p	1p	p36.33
TTLL10-AS1	ENSG00000205231	1	1108436	1114935	p	1p	p36.33
TTLL10	ENSG00000162571	1	1109264	1133315	p	1p	p36.33
TNFRSF18	ENSG00000186891	1	1138888	1142071	p	1p	p36.33
TNFRSF4	ENSG00000186827	1	1146706	1149518	p	1p	p36.33
SDF4	ENSG00000078808	1	1152288	1167411	p	1p	p36.33
B3GALT6	ENSG00000176022	1	1167629	1170421	p	1p	p36.33
FAM132A	ENSG00000184163	1	1177826	1182102	p	1p	p36.33
RP5-902P8.12	ENSG00000260179	1	1185157	1186714	p	1p	p36.33
UBE2J2	ENSG00000160087	1	1189289	1209265	p	1p	p36.33
RP5-902P8.10	ENSG00000230415	1	1210603	1215800	p	1p	p36.33
SCNN1D	ENSG00000162572	1	1215816	1227409	p	1p	p36.33
ACAP3	ENSG00000131584	1	1227756	1244989	p	1p	p36.33
PUSL1	ENSG00000169972	1	1243947	1247057	p	1p	p36.33
CPSF3L	ENSG00000127054	1	1246965	1260071	p	1p	p36.33
GLTPD1	ENSG00000224051	1	1260136	1264277	p	1p	p36.33
TAS1R3	ENSG00000169962	1	1266694	1270686	p	1p	p36.33
DVL1	ENSG00000107404	1	1270656	1284730	p	1p	p36.33
MXRA8	ENSG00000162576	1	1288069	1297157	p	1p	p36.33
AURKAIP1	ENSG00000175756	1	1309110	1310875	p	1p	p36.33
CCNL2	ENSG00000221978	1	1321091	1334708	p	1p	p36.33
RP4-758J18.2	ENSG00000224870	1	1334902	1337426	p	1p	p36.33
MRPL20	ENSG00000242485	1	1337288	1342693	p	1p	p36.33
RP4-758J18.13	ENSG00000272455	1	1344476	1345998	p	1p	p36.33
ANKRD65	ENSG00000235098	1	1353800	1357149	p	1p	p36.33
